"","Make","Year","Model","Id","Price","Mileage","City","State","Vin","Edmunds Monthly Fuel Cost
Gas (E85)","Costs First 75k miles","Costs First 150k miles"
"1","Acura",2014,"TSX",393588,26233,12823,"Ocala"," FL","JH4CW2H68EC000428","212",5700,19000
"2","Acura",2013,"TSX",393741,22830,55142,"Costa Mesa"," CA","JH4CW2H6XDC000753","189",5700,19000
"4","Acura",2014,"TSX",397118,22980,19066,"Cary"," NC","JH4CW2H52EC000108","205",5700,19000
"9","Acura",2014,"TSX",391564,18999,16891,"Langhorne"," PA","JH4C42F48EC000677","189",5700,19000
"10","Acura",2014,"TSX",392977,18999,40291,"West Palm Beach"," FL","JH4CW2H67EC000503","212",5700,19000
"16","Acura",2014,"TSX",393122,21000,39576,"Las Vegas"," NV","JH4CW2H65EC000225","212",5700,19000
"18","Acura",2013,"TSX",393273,20000,50123,"Chicago"," IL","JH4CW2H62DC000195","189",5700,19000
"19","Acura",2014,"TSX",393107,18989,60338,"Columbia"," SC","JH4CW2H68EC000591","212",5700,19000
"22","Acura",2013,"TSX",396080,23040,42159,"Carlsbad"," CA","JH4CW2H6XDC000297","189",5700,19000
"24","Acura",2013,"TSX",393582,21495,53267,"Clinton"," NJ","JH4CW2H61DC000429","189",5700,19000
"25","Acura",2014,"TSX",393695,20956,77856,"Auburn"," MA","JH4CW2H51EC000066","205",5700,19000
"31","Acura",2014,"TSX",393361,20452,58563,"Carlsbad"," CA","JH4CW2H56EC000614","205",5700,19000
"44","Acura",2013,"TSX",393336,19999,55812,"Montgomeryville"," PA","JH4CW2H66DC000295","189",5700,19000
"66","Audi",2013,"A8",410479,33100,60560,"Duluth"," GA","WAURGAFDXDN009751","236",8800,21200
"67","Audi",2014,"A8",410838,36885,44917,"Des Plaines"," IL","WAURGAFD8EN010432","174",8800,21200
"69","Audi",2014,"A8",412189,43988,45512,"Denver"," NC","WAURGAFD8EN005280","174",8800,21200
"73","Audi",2014,"A8",410824,39890,37298,"D'Iberville"," MS","WAURGAFDXEN008312","236",8800,21200
"74","Audi",2014,"A8",410627,37900,19345,"Paterson"," NJ","WAURGAFD4EN002201","236",8800,21200
"75","Audi",2014,"A8",411252,42100,22755,"Southampton"," NY","WAURGAFD4EN003056","236",8800,21200
"76","Audi",2013,"A8",410572,34500,48495,"Linden"," NJ","WAURGAFD9DN016996","260",8800,21200
"78","Audi",2014,"A8",411488,42890,38684,"Woodlands"," TX","WAUR2AFD5EN002769","236",8800,21200
"84","Audi",2014,"A8",411532,41991,44263,"Manheim"," PA","WAUR2AFD5EN009088","174",8800,21200
"85","Audi",2014,"A8",410865,37995,58626,"Selma"," TX","WAURGAFD5EN009013","236",8800,21200
"91","Audi",2014,"A8",410376,34600,44721,"Hasbrouck Heights"," NJ","WAURGAFD2EN011771","236",8800,21200
"92","Audi",2014,"A8",411525,40488,61610,"Mt. Juliet"," TN","WAUR2AFDXEN012441","307",8800,21200
